DATE,DATE,GDPCA,GDP
1928,,,0.011
1929,1929-01-01,1110.2060000000001,0.0652
1930,1930-01-01,1015.7510000000001,-0.08507880519471167
1931,1931-01-01,950.686,-0.06405605310750373
1932,1932-01-01,828.061,-0.12898580603900767
1933,1933-01-01,817.824,-0.01236261579762854
1934,1934-01-01,906.2130000000001,0.10807826622843075
1935,1935-01-01,986.905,0.08904308369003733
1936,1936-01-01,1114.052,0.1288340823078209
1937,1937-01-01,1171.144,0.05124715901950716
1938,1938-01-01,1132.338,-0.03313512258099771
1939,1939-01-01,1223.21,0.08025165630756903
1940,1940-01-01,1331.06,0.08816965198126225
1941,1941-01-01,1566.848,0.17714302886421351
1942,1942-01-01,1862.7720000000002,0.18886579936279735
1943,1943-01-01,2179.879,0.1702339309373342
1944,1944-01-01,2353.234,0.07952505620724826
1945,1945-01-01,2330.217,-0.009781007753585036
1946,1946-01-01,2059.782,-0.11605571498276768
1947,1947-01-01,2036.204,-0.01144684243284011
1948,1948-01-01,2119.959,0.04113291202649627
1949,1949-01-01,2107.999,-0.005641618540735971
1950,1950-01-01,2291.111,0.08686531634977057
1951,1951-01-01,2475.449,0.08045790884858928
1952,1952-01-01,2576.658,0.040885108115739754
1953,1953-01-01,2697.4559999999997,0.046881658334167575
1954,1954-01-01,2681.8540000000003,-0.005783968301985021
1955,1955-01-01,2873.16,0.07133348795273697
1956,1956-01-01,2934.3909999999996,0.021311378412618875
1957,1957-01-01,2996.178,0.02105615781945902
1958,1958-01-01,2973.982,-0.007408104591916764
1959,1959-01-01,3180.22,0.06934742711959929
1960,1960-01-01,3262.0609999999997,0.02573438315588228
1961,1961-01-01,3345.69,0.02563685964180329
1962,1962-01-01,3550.684,0.06127106815036654
1963,1963-01-01,3705.3179999999998,0.04355048210429291
1964,1964-01-01,3918.7909999999997,0.05761259897261173
1965,1965-01-01,4173.424,0.06497743819458601
1966,1966-01-01,4448.7029999999995,0.06595998872867925
1967,1967-01-01,4570.709,0.027425071981654003
1968,1968-01-01,4795.387,0.04915604996949052
1969,1969-01-01,4945.235,0.03124836431345379
1970,1970-01-01,4954.436,0.0018605789209209522
1971,1971-01-01,5117.603,0.032933516549613406
1972,1972-01-01,5386.733,0.052589073439264444
1973,1973-01-01,5690.853,0.05645722555768029
1974,1974-01-01,5660.090999999999,-0.0054055165368004365
1975,1975-01-01,5648.4619999999995,-0.002054560606887801
1976,1976-01-01,5952.809,0.053881392846406806
1977,1977-01-01,6228.076,0.046241530679045795
1978,1978-01-01,6572.819,0.055353049641654994
1979,1979-01-01,6780.924,0.03166145302342871
1980,1980-01-01,6763.514,-0.0025674967010395067
1981,1981-01-01,6935.153,0.025377192979862295
1982,1982-01-01,6810.12,-0.018028874056563726
1983,1983-01-01,7122.29,0.04583913352481317
1984,1984-01-01,7637.704000000001,0.07236633161525297
1985,1985-01-01,7956.17,0.04169656221293727
1986,1986-01-01,8231.664,0.034626459716170066
1987,1987-01-01,8516.418,0.03459251981130418
1988,1988-01-01,8872.154,0.04177061295018647
1989,1989-01-01,9197.997,0.03672648152861169
1990,1990-01-01,9371.468,0.0188596495519624
1991,1991-01-01,9361.322,-0.0010826478839814913
1992,1992-01-01,9691.069,0.03522440527096493
1993,1993-01-01,9957.746,0.027517810470650828
1994,1994-01-01,10358.923,0.040287932630537204
1995,1995-01-01,10636.979,0.026842172685326293
1996,1996-01-01,11038.266000000001,0.0377256550003533
1997,1997-01-01,11529.157,0.04447174945774979
1998,1998-01-01,12045.823999999999,0.04481394433261676
1999,1999-01-01,12623.361,0.04794499737004321
2000,2000-01-01,13138.035,0.04077155046108549
2001,2001-01-01,13263.417,0.009543436290130103
2002,2002-01-01,13488.357,0.016959430590171465
2003,2003-01-01,13865.518999999998,0.02796204163338789
2004,2004-01-01,14399.696000000002,0.03852556835413101
2005,2005-01-01,14901.268999999998,0.034832193679644075
2006,2006-01-01,15315.943000000001,0.027828099741035617
2007,2007-01-01,15623.871000000001,0.020105063070553264
2008,2008-01-01,15642.962,0.001221912290494398
2009,2009-01-01,15236.261999999999,-0.025998912482175784
2010,2010-01-01,15648.991000000002,0.02708859955283005
2011,2011-01-01,15891.534,0.015498954533234688
2012,2012-01-01,16253.97,0.022806860558584274
2013,2013-01-01,16553.348,0.018418761693297148
2014,2014-01-01,16932.051,0.022877728420860777
2015,2015-01-01,17390.295,0.027063703032786712
2016,2016-01-01,17680.273999999998,0.01667476026139858
2017,2017-01-01,18076.651,0.022419166128307966
2018,2018-01-01,18609.078,0.02945385182244209
2019,2019-01-01,19036.052,0.02294439305375562
2020,2020-01-01,18509.143,-0.0276795314490631
2021,2021-01-01,19609.811999999998,0.05946623244522975
2022,2022-01-01,20015.379,0.02068184029505238
