Year,gold
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,-0.1606674612634088
1970,0.06148821357568868
1971,0.16387959866220725
1972,0.4873563218390806
1973,0.7349304482225656
1974,0.6703786191536749
1975,-0.252
1976,-0.04064171122994642
1977,0.23076923076923062
1978,0.3556763285024156
1979,1.3340757238307348
1980,0.125
1981,-0.3214588634435963
1982,0.1200000000000001
1983,-0.1484375
1984,-0.19003931847968547
1985,0.058252427184465994
1986,0.19541284403669712
1987,0.24456382706574575
1988,-0.1569373072970196
1989,-0.022308911373887574
1990,-0.02493765586034913
1991,-0.0961636828644502
1992,-0.058007923033389974
1993,0.17347551817362583
1994,-0.020862664789453422
1995,0.01098039215686275
1996,-0.04434962503232476
1997,-0.2174265999188203
1998,-0.006051175656984764
1999,0.01182814402504806
2000,-0.06257521058965121
2001,0.01412066752246477
2002,0.23960216998191686
2003,0.2173595915390225
2004,0.049730377471539855
2005,0.17123287671232879
2006,0.2391812865497076
2007,0.315872266792512
2008,0.034070531978481755
2009,0.2763005780346821
2010,0.2774003623188406
2011,0.11646871122141467
2012,0.056843442362654706
2013,-0.27794471153846156
2014,-0.0018726591760299671
2015,-0.11423806545757764
2016,0.09117439397505289
2017,0.11854024674316288
2018,-0.011453914384882302
2019,0.18831194163773257
2020,0.2416940249507551
